channelName,channelId
CNN,UCupvZG-5ko_eiXAupbDfxWw
ABCNews,UCBi2mrWuNuyYy4gbM6fU18Q
BBCNews,UC16niRr50-MSBwiO3YDb3RA
Vox,UCLXo7UDZvByw2ixzpQCufnA
InsideEdition,UC9k-yiEpRHMNVOnOi_aQK8w
FoxNews,UCXIJgqnII2ZOINSWNOGFThA
aljazeeraenglish,UCNye-wNBqNL5ZzHSJj3l8Bg
VICENews,UCZaT_X_mc0BI-djXOlfhqWQ
NBCNews,UCeY0bbntWzzVIaj2z3QigXg
businessinsider,UCcyq283he07B7_KUX07mmtA
TheYoungTurks,UC1yBKRuGpC1tSM73A0ZjYjQ
TrueCrimeDaily,UC69uYUqvx-vw4luuX7aHNLQ
msnbc,UCaXkIU1QidjPwiAYu6GcHjg
RT,UCpwvZwUam-URkxB7g4USKpg
CBSNews,UC8p1vwvWtl6T73JiExfWs1g
ap,UC52X5wxOL_s5yw0dQk7NtgA
TODAY,UChDKyKQ59fYz3JO2fl0Z6sg
APArchive,UCHTK-2W11Vh1V4uwofOfR4w
PhilipDeFranco,UClFSU9_bUb4Rc6OYfTt5SPw
BenShapiro,UCnQC_G5Xsjhp9fEJKuIcrSw
nytimes,UCqnbDFdCpuN8CMEg0VuEBqA
wsj,UCK7tptUDHh-RYDsdxO1-5QQ
BloombergTV,UCUMZ7gohGI9HcU9VNsr2FJQ
globalnews,UChLtXXpo4Ge1ReTEboVvTDg
CBCNews,UCuFFtHWoLl5fauMMD5Ww2jA
TomoNewsUS,UCt-WqkTyKK1_70U4bb4k4lQ
TheDailyWire,UCaeO5vkdj5xOQHp4UmIN6dw
CNBC,UCvJJ_dzjViJCoLf5uKUTwoA
unitednations,UC5O114-PQNYkurlTg6hekZw
TheEconomist,UC0p5jTq6Xx_DosDFxVXnWaQ